,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_q,param_model__splitter,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_features,param_model__max_depth,param_model__ccp_alpha,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
20,0,2000,0.050716400146484375,0.003289122902329081,0.0059367020924886065,0.00010170582496229068,12,best,100,10,0.001,sqrt,15,0.01,DecisionTreeRegressor(),"{'q': 12, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.001, 'model__max_features': 'sqrt', 'model__max_depth': 15, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-3978.411799030913,-3263.11012011982,-3295.2740449262533,-3512.265321358995,329.87677850897603,230,-3635.4296192353722,-3359.313591318697,-3087.2393765914144,-3360.660862381828,223.79975705527252
21,0,2000,0.05276330312093099,0.003856324076408835,0.005904038747151692,0.0003654618709685647,3,best,100,10,0.0,sqrt,20,0.1,DecisionTreeRegressor(),"{'q': 3, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.0, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-3436.464348327616,-3085.0016768955634,-3840.200983176693,-3453.8890027999573,308.5549243268101,223,-3565.6209839056933,-3113.7992593968206,-3242.8176001526,-3307.412614485038,190.02649743653964
22,0,2000,0.05083028475443522,0.0021819780957269552,0.0059363047281901045,0.0007194807603865857,13,random,200,100,0.01,,10,0.01,DecisionTreeRegressor(),"{'q': 13, 'model__splitter': 'random', 'model__min_samples_split': 200, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.01, 'model__max_features': None, 'model__max_depth': 10, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-4432.461870692455,-4612.396927557275,-4402.705381477031,-4482.521393242253,92.63585689071739,348,-4868.579202661366,-5007.302026652241,-4359.897783795247,-4745.259671036285,278.31498172332425
23,0,2000,0.05164440472920736,0.0029017206715559857,0.005427837371826172,0.00020870792554716138,8,random,50,10,0.01,,10,0.1,DecisionTreeRegressor(),"{'q': 8, 'model__splitter': 'random', 'model__min_samples_split': 50, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': None, 'model__max_depth': 10, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-3628.307560353164,-3081.7379906086458,-3428.0641627727045,-3379.369904578171,225.77706073102848,210,-3369.309390760689,-3180.4543043021854,-3059.2839560166185,-3203.0158836931646,127.56883421777714
24,0,2000,0.051796913146972656,0.002694590375878795,0.0054921309153238935,0.00023148641975597926,10,best,50,20,0.0001,0.5,30,0.1,DecisionTreeRegressor(),"{'q': 10, 'model__splitter': 'best', 'model__min_samples_split': 50, 'model__min_samples_leaf': 20, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.5, 'model__max_depth': 30, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-3381.9738700465878,-2977.581542496159,-3392.7115290993293,-3250.7556472140254,193.21299636547766,184,-2941.2275224761397,-2925.194458659947,-2864.011620918522,-2910.144534018203,33.27109894117871
25,0,2000,0.050009727478027344,0.0018947860643390034,0.0055539608001708984,0.00015301285119125656,14,best,100,100,0.01,,15,0.1,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.01, 'model__max_features': None, 'model__max_depth': 15, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4104.787061054212,-3861.3662832578248,-4241.985431529277,-4069.379591947105,157.39123368038324,308,-3984.6719841393256,-3907.6746749695053,-3712.3176680696934,-3868.2214423928417,114.63459786353197
26,0,2000,0.05309939384460449,0.004023977839408212,0.00528709093729655,7.052848027245764e-05,14,best,100,10,0.01,log2,10,0.0,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__ccp_alpha': 0.0, 'model': DecisionTreeRegressor()}",-3405.4256410131165,-3268.2631626929447,-3596.415326444328,-3423.3680433834634,134.5669795945331,215,-3302.613926806604,-3341.436396979229,-3295.631820221309,-3313.2273813357137,20.149423081470655
27,0,2000,0.05077528953552246,0.0038696656583558486,0.005292097727457683,7.291876323766634e-05,6,random,20,50,0.001,sqrt,15,0.1,DecisionTreeRegressor(),"{'q': 6, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.001, 'model__max_features': 'sqrt', 'model__max_depth': 15, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4459.193943399489,-3994.374101763064,-4344.732662700076,-4266.10023595421,197.74000640013114,333,-4709.818037151681,-4574.051362897106,-4160.336248543549,-4481.401882864112,233.6956762055958
28,0,2000,0.05007688204447428,0.001173545561962462,0.005728006362915039,3.517623546887968e-05,4,random,100,10,0.01,0.5,25,0.001,DecisionTreeRegressor(),"{'q': 4, 'model__splitter': 'random', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3998.473999413439,-3422.5872815760144,-4184.567983040684,-3868.543088010046,324.3610936952158,280,-3919.2539868560716,-3643.059108029405,-3784.303237719753,-3782.205444201743,112.7658439000996
29,0,2000,0.05176409085591634,0.002491339289996745,0.00580588976542155,0.0001312163580593491,12,random,200,20,0.001,,15,0.1,DecisionTreeRegressor(),"{'q': 12, 'model__splitter': 'random', 'model__min_samples_split': 200, 'model__min_samples_leaf': 20, 'model__min_impurity_decrease': 0.001, 'model__max_features': None, 'model__max_depth': 15, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4234.491692982349,-4251.5842587836305,-4151.408643411327,-4212.494865059102,43.7544954476576,328,-4259.211837459918,-4580.291080753747,-4086.3530338835417,-4308.618650699068,204.65332220175765
30,0,2000,0.052222490310668945,0.003918751602633756,0.005664984385172526,0.00013023712935952725,9,best,200,20,0.0,sqrt,15,0.01,DecisionTreeRegressor(),"{'q': 9, 'model__splitter': 'best', 'model__min_samples_split': 200, 'model__min_samples_leaf': 20, 'model__min_impurity_decrease': 0.0, 'model__max_features': 'sqrt', 'model__max_depth': 15, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-4166.332524564409,-3416.847698523818,-4092.0133647643065,-3891.7311959508447,337.1612734530681,284,-4042.231695156156,-3941.4013449165786,-3927.4530120054546,-3970.3620173593968,51.13757221265932
31,0,2000,0.050419012705485024,0.0015684192741406324,0.005679607391357422,0.00041926922282862675,9,random,20,100,0.001,0.5,10,0.1,DecisionTreeRegressor(),"{'q': 9, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.001, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-5199.666802605387,-5425.182806551897,-5254.681054719777,-5293.17688795902,96.00629802809213,391,-5354.598061944162,-5951.548634924165,-5234.1201485383735,-5513.4222818022345,313.6821723545406
32,0,2000,0.05079428354899088,0.00335297555144506,0.005362908045450847,0.00016929726339859986,10,random,50,50,0.01,0.7,25,0.001,DecisionTreeRegressor(),"{'q': 10, 'model__splitter': 'random', 'model__min_samples_split': 50, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.01, 'model__max_features': 0.7, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3959.6505365729263,-3971.353098582562,-4454.056568025059,-4128.3534010601825,230.3564661093905,320,-4277.163390229204,-4304.950172028001,-4102.111576061005,-4228.07504610607,89.78909789066476
33,0,2000,0.05155571301778158,0.002570073083865576,0.005557616551717122,0.0003595428236919297,9,best,100,10,0.0,0.5,20,0.001,DecisionTreeRegressor(),"{'q': 9, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.0, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3696.9328941646845,-3449.523837807237,-3339.5776962836735,-3495.344809418532,149.44420462209618,229,-3210.538926754888,-3615.9674875887426,-3037.794807172235,-3288.100407171955,242.3258818593502
34,0,2000,0.05434298515319824,0.0025271354136077724,0.005567312240600586,0.00034852789776007023,14,best,200,100,0.0001,0.7,25,0.001,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'best', 'model__min_samples_split': 200, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.7, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-4104.787061054212,-3873.3746223603443,-4073.481716026661,-4017.214466480406,102.50994008448225,299,-3984.6719841393256,-4110.32739145187,-3799.352775240365,-3964.784050277187,127.73135980630556
