,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__bootstrap,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
216,1,30000,336.9852093060811,1.4716208115567593,0.15854533513387045,0.0001874876099886838,250,82,29,0.0,0.9,1.0,20,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 250, 'model__min_samples_split': 82, 'model__min_samples_leaf': 29, 'model__min_impurity_decrease': 0.0, 'model__max_samples': 0.9, 'model__max_features': 1.0, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1986.2002104000003,-1968.0319341934191,-2060.539697169717,-2004.9239472543788,40.01962263743232,57,-1958.7648978448924,-1953.1217511,-1947.6609179000002,-1953.1825222816308,4.533384497740421
217,1,30000,1.6352612972259521,0.030917248767140332,0.18941672643025717,0.00021346336145904835,300,12,29,0.01,0.9,0.8,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 12, 'model__min_samples_leaf': 29, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2003.6890709831077,-1975.24270109061,-2056.231552060288,-2011.7211080446687,33.54781373766792,62,-1958.6508261536965,-1953.1661345789462,-1953.695859600069,-1955.1709401109038,2.470135934534477
218,1,30000,993.7664129734039,5.255104249910314,0.3947436809539795,0.001914499616562896,650,62,33,0.001,,1.0,80,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 650, 'model__min_samples_split': 62, 'model__min_samples_leaf': 33, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 1.0, 'model__max_depth': 80, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1984.1064803846155,-1967.1663952549104,-2056.4888268826885,-2002.5872341740715,38.73652792429597,55,-1955.8697324866243,-1944.7189492692307,-1944.055784769231,-1948.2148221750285,5.41960550209116
219,1,30000,2.8077898820241294,0.009718460738001682,0.3848297595977783,0.004641167593358909,650,92,13,0.0001,0.7,0.8,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 650, 'model__min_samples_split': 92, 'model__min_samples_leaf': 13, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.7, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1993.719395564681,-1968.1495417457743,-2049.099592473691,-2003.6561765947154,33.7864113823117,56,-1950.4666796771992,-1947.3730302362937,-1947.1168860142068,-1948.3188653092332,1.5223298777548941
220,1,30000,344.585290034612,2.122599098095231,0.19382866223653158,0.006471866705078453,300,92,17,0.01,0.9,0.8,80,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 92, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1968.9994441666665,-1952.2455985598563,-2046.1301061772847,-1989.1250496346026,40.884839808336494,53,-1936.099153624348,-1934.2443955,-1931.5343303333332,-1933.9592931525603,1.8744537748251806
221,1,30000,1570.9499949614208,9.324503391708854,0.49908939997355145,0.0012294791321102315,750,92,5,0.001,,log2,20,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 750, 'model__min_samples_split': 92, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-1966.335762466667,-1952.6091467813446,-2034.528615461546,-1984.491174903186,35.82284269165606,51,-1916.3313483007485,-1910.7068092,-1911.7524396,-1912.9301990335828,2.4425666809741076
222,1,30000,458.0875976880391,1.517463736938077,0.22070693969726562,0.0015457622515894834,350,92,17,0.0,,0.8,80,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 350, 'model__min_samples_split': 92, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.0, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1955.8356852857144,-1943.1034610603917,-2029.4598379837985,-1976.1329947766346,38.06434498111527,49,-1919.9325669140596,-1919.3988210714285,-1911.5764150714285,-1916.9692676856387,3.8195432226972033
223,1,30000,2459.379959344864,6.685594403405983,0.4754006067911784,0.00044573063100964973,750,52,37,0.001,,0.8,20,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 750, 'model__min_samples_split': 52, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-1948.6264961333334,-1931.4588850218356,-2021.0781149448278,-1967.0544986999987,38.83808313108247,46,-1907.3070626197975,-1900.7945714000002,-1899.5469714666665,-1902.5495351621546,3.402418456635647
224,1,30000,823.0509029229482,4.349858969954842,0.17289296785990396,0.002880024108634691,250,2,37,0.0,,0.8,20,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 250, 'model__min_samples_split': 2, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.0, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-1944.4496213999998,-1933.52899389939,-2023.1209894989495,-1967.0332015994463,39.90985667598505,45,-1903.3321140057003,-1902.5286239999998,-1897.3388742,-1901.0665374019,2.65618821589824
225,1,30000,190.68305460611978,2.312131074381765,0.13980635007222494,0.00046307367115303337,200,72,5,0.01,,0.5,20,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 200, 'model__min_samples_split': 72, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.01, 'model__max_samples': None, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1938.8206734999999,-1925.8465819081907,-2006.836320132013,-1957.1678585134014,35.51805947052664,43,-1890.2117943397168,-1886.786223375,-1887.4404779999998,-1888.1461652382388,1.484841173826989
