,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__early_stopping,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_iter_no_change,param_model__validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,5.168038606643677,0.6547721648222793,0.39569382667541503,0.02710714023857974,True,10.0,0.07999999999999999,squared_error,238,8,0.7941503206006846,250,50,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 8, 'model__max_features': 0.7941503206006846, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1448.0049152697757,-1490.8064782279475,-1474.7580466992956,-1460.0973453812287,-1440.748042847831,-1462.8829656852156,18.109726532857433,41
31,5.3302747249603275,0.7634871485543254,0.41060991287231446,0.043522446225803695,True,10.0,0.07999999999999999,squared_error,238,8,0.6,250,50,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 8, 'model__max_features': 0.6, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1446.221137949587,-1481.67613497664,-1484.665869412982,-1459.3284829775762,-1447.8234060782063,-1463.9430062789982,16.36521226806834,43
32,5.595149230957031,0.8222013281635409,0.4137937068939209,0.040975273589583985,True,10.0,0.07999999999999999,squared_error,238,9,0.8,250,50,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 9, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1436.5245028005195,-1472.259249196421,-1471.4000282937702,-1449.9241942694516,-1434.2425885795699,-1452.8701126279466,16.383762933048928,33
33,7.6277018070220945,1.1388611889686733,0.5194043636322021,0.0676943764731465,True,10.0,0.07999999999999999,squared_error,238,9,0.8,250,100,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 9, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1382.2464958199853,-1418.492959491206,-1422.232116738084,-1397.3787677834837,-1376.7359507007568,-1399.417258106703,18.4273296146158,3
34,5.769882154464722,0.9221799561542724,0.42510256767272947,0.06418732960968547,True,10.0,0.07999999999999999,squared_error,238,10,0.8,250,50,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 10, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1433.1856518914617,-1468.3422133592403,-1463.9172004808183,-1448.1506458403712,-1432.7140770958963,-1449.2619577335577,14.915409964016176,31
35,5.72024188041687,0.8657383030063696,0.4345419883728027,0.04158604530341983,True,29.999999999999996,0.07999999999999999,squared_error,238,10,0.8,250,50,10,8,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 29.999999999999996, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 10, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 8, 'model__validation_fraction': 0.1})",-1465.3645321728727,-1507.8439236429626,-1512.9333014848064,-1483.2901197273495,-1469.1995196048108,-1487.7262793265604,19.509390828368527,49
36,3.671104383468628,0.4955654182889742,0.3438133239746094,0.039269321073695594,True,24.343716965968845,0.075137336674371,squared_error,238,5,0.7223675031370742,206,31,20,14,0.19700146827647458,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 24.343716965968845, 'model__learning_rate': 0.075137336674371, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 5, 'model__max_features': 0.7223675031370742, 'model__max_iter': 206, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 20, 'model__n_iter_no_change': 14, 'model__validation_fraction': 0.19700146827647458})",-1629.7131427641493,-1667.7080963916671,-1669.5834288948267,-1634.190825741569,-1635.0122684314213,-1647.2415524447267,17.579310938329417,72
37,3.7955432415008543,0.6101880652055428,0.3166186332702637,0.04085007579332817,True,15.08897316230273,0.0642211576823457,squared_error,238,6,0.6789363670850419,160,100,24,9,0.11881423971345648,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 15.08897316230273, 'model__learning_rate': 0.0642211576823457, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 6, 'model__max_features': 0.6789363670850419, 'model__max_iter': 160, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 24, 'model__n_iter_no_change': 9, 'model__validation_fraction': 0.11881423971345648})",-1590.2380389880452,-1633.4345537860993,-1629.1073173497134,-1589.5494098263803,-1597.2202912516175,-1607.9099222403713,19.31066264751482,65
38,5.77759861946106,0.9193209343553961,0.42941813468933104,0.03299110921766106,True,10.0,0.07999999999999999,squared_error,238,10,0.8,250,50,10,15,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 10, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 15, 'model__validation_fraction': 0.1})",-1433.1856518914617,-1468.3422133592403,-1463.9172004808183,-1448.1506458403712,-1432.7140770958963,-1449.2619577335577,14.915409964016176,31
39,7.719347524642944,1.2365143966246532,0.5160808086395263,0.0406304435957669,True,10.0,0.07999999999999999,squared_error,238,9,0.8,250,100,10,12,0.1,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 10.0, 'model__learning_rate': 0.07999999999999999, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 9, 'model__max_features': 0.8, 'model__max_iter': 250, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 12, 'model__validation_fraction': 0.1})",-1382.2464958199853,-1418.492959491206,-1422.232116738084,-1397.3787677834837,-1376.7359507007568,-1399.417258106703,18.4273296146158,3
