,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__loss,param_model__quantile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,19.362553453445436,4.0047834220143255,0.4534550666809082,0.1107150694619299,quantile,0.9604463325647489,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9604463325647489})",-3278.6648603602766,-3260.100535636994,-3286.61905768635,-3348.372408410248,-3416.8118439713217,-3318.1137412130383,57.568331121939174,73
22,18.433750104904174,3.562533304038465,0.44129118919372556,0.1059843435670879,quantile,0.9701905146340425,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9701905146340425})",-3583.6818745780342,-3624.2964318959644,-3604.00070005335,-3668.4251617053515,-3656.287745352119,-3627.3383827169637,31.578412260313783,80
23,21.839594745635985,2.166300495443236,0.49515571594238283,0.07898798256315094,quantile,0.8941108880857522,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8941108880857522})",-2315.9411409795403,-2328.1233359528633,-2318.410270579853,-2288.153830004343,-2298.8904257517274,-2309.9038006536657,14.388305149052899,49
24,22.22750096321106,2.546909491491129,0.5061456203460694,0.08204395910514559,quantile,0.799659968430745,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.799659968430745})",-1784.7621425160853,-1824.2656003705285,-1819.2537991410632,-1780.1883666398828,-1781.7825196879426,-1798.0504856711002,19.478679719784296,28
25,22.439799547195435,2.3478952614276176,0.4979769229888916,0.03666522937259111,quantile,0.8180357813887889,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8180357813887889})",-1870.925810727302,-1894.8265750349217,-1888.1856260235413,-1859.8938187049691,-1852.4709795332028,-1873.2605620047875,16.150406083399876,29
26,22.05884461402893,3.069974046564386,0.4899264335632324,0.08111204320919146,quantile,0.9199201829490872,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9199201829490872})",-2534.4761326845655,-2594.064041512269,-2598.160438161702,-2573.077732623112,-2598.3379257257106,-2579.623254141472,24.427479982946796,61
27,22.32524800300598,3.2127164257469194,0.5303600311279297,0.10366116227834668,quantile,0.8688211991521074,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8688211991521074})",-2126.406721375484,-2158.7270551567635,-2136.036156624456,-2130.0916436842695,-2116.310858654995,-2133.5144870991935,14.14378610927427,39
28,21.9073655128479,2.829971693720749,0.5013841152191162,0.07444357094108862,quantile,0.7884298642528433,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7884298642528433})",-1743.0628936084106,-1771.6378004997937,-1784.229823701144,-1752.0065148768324,-1744.940745836206,-1759.1755557044773,16.10383015548465,23
29,22.539279174804687,2.4160625457750156,0.49586100578308107,0.042100626134093135,quantile,0.7980524955875165,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7980524955875165})",-1775.628753969246,-1804.1518725121882,-1807.8216612881606,-1771.699028131119,-1785.5904940405032,-1788.9783619882433,14.653125346933326,25
30,22.587197303771973,2.473084818154186,0.49184584617614746,0.06960229425301587,quantile,0.8803129307750287,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8803129307750287})",-2183.749035908642,-2219.7104208543833,-2215.643762739212,-2191.3723093744256,-2191.257233219579,-2200.346552419248,14.474766736685579,46
31,20.490373373031616,2.3019778463174045,0.4747916221618652,0.07387458533270629,quantile,0.9399934451514705,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9399934451514705})",-2804.372295604542,-2898.06226656782,-2856.3663490446097,-2795.939317119571,-2871.6854819589394,-2845.2851420590964,39.2786644642319,66
32,21.884803438186644,2.9029214614201355,0.498045825958252,0.09395194287409168,quantile,0.7922582651305441,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7922582651305441})",-1766.7658628038846,-1798.791815595545,-1797.997503913667,-1763.2240379898403,-1767.4959014538717,-1778.8550243513614,16.021332051129615,24
33,20.41866068840027,3.600347173083551,0.4879889011383057,0.09091065211637071,quantile,0.9452323387023368,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9452323387023368})",-2919.3495758382796,-2934.7008128624725,-2957.085698983558,-2975.751575050935,-2921.232542414676,-2941.6240410299843,21.74234370365103,68
