,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__ccp_alpha,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__oob_score,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
66,105.55768704414368,0.9263668265314747,4.615653355916341,0.25534084109621,True,0.0,squared_error,70,0.6,1500,0.9,0.14670489254018312,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 70, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.14670489254018312, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
67,105.07298636436462,1.2344015010815044,4.560823678970337,0.10099416075409684,True,0.0,squared_error,40,0.6,1500,0.9,0.15185073800381638,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.15185073800381638, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
68,108.35468872388203,0.7460301370091773,4.87288482983907,0.4851521690436739,True,0.0,squared_error,40,0.6,1500,0.9,0.14054716775999349,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.14054716775999349, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
69,112.14027031262715,0.48721423921690094,5.5801948706309,0.14012116429007665,True,0.0,squared_error,40,0.6,1500,0.9,0.10710257926558388,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.10710257926558388, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
70,111.73515995343526,0.24274899937395913,4.810940424601237,0.09266447976600917,True,0.0,squared_error,66,0.6,1500,0.9,0.19935660777330766,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 66, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.19935660777330766, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
71,105.57141462961833,0.8169746692565434,4.994784593582153,0.4013789751816755,True,0.0,squared_error,49,0.6,1500,0.9,0.09943463153960509,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 49, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.09943463153960509, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
72,110.2324329217275,0.8448412196567836,5.241150299708049,0.08763922910262256,True,0.0,squared_error,40,0.6,1500,0.9,0.0681536673286336,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.0681536673286336, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
73,106.88182163238525,0.8227047426093834,4.716966072718303,0.06505964091720491,True,0.0,squared_error,44,0.6,1500,0.9,0.06380839227162467,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 44, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.06380839227162467, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
74,107.53015120824178,0.4337240686330494,4.417239586512248,0.5915801764046602,True,0.0,squared_error,45,0.6,1500,0.9,0.11069471283769035,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 45, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.11069471283769035, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
75,104.3096570968628,0.872037311126845,4.743720690409343,0.07532389077080132,True,0.0,squared_error,70,0.6,1500,0.9,0.11630264801762105,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 70, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.11630264801762105, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
76,109.68305897712708,0.639032243604406,4.817143678665161,0.1597886474592846,True,0.0,squared_error,40,0.6,1500,0.9,0.09705226179486204,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.09705226179486204, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
77,104.72354483604431,0.4127424592023807,4.312799533208211,0.510821797012591,True,0.00020430403834351823,squared_error,43,0.6,1500,0.9,0.2,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.00020430403834351823, 'model__criterion': 'squared_error', 'model__max_depth': 43, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.2, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
78,105.41489458084106,0.8789960408748444,4.76945964495341,0.04515339935974823,True,0.0,squared_error,70,0.6,1500,0.9,0.08533679250345513,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 70, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.08533679250345513, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
79,105.9670254389445,0.09390593734777922,4.505823930104573,0.2916552846853075,True,0.0,squared_error,52,0.6,1500,0.9,0.1658488107863634,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 52, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.1658488107863634, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
