,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.9370189189910887,0.09048580384898648,0.8188176631927491,0.02118405513591208,HistGradientBoostingRegressor(),7,0.2,150,11,160,60,24,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 150), ('model__max_depth', 11), ('model__max_iter', 160), ('model__max_leaf_nodes', 60), ('model__min_samples_leaf', 24), ('q', 6)])",-1388.161889726623,-1392.5327309123331,-1432.4654186023865,-1426.750289754238,-1412.84081499937,-1410.5502287989902,17.74165866388472,27
1,3.7509016513824465,0.09454319688939733,0.8363503456115723,0.059451388590099026,HistGradientBoostingRegressor(),9,0.05,250,13,100,54,14,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.05), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 100), ('model__max_leaf_nodes', 54), ('model__min_samples_leaf', 14), ('q', 10)])",-1629.6428868129794,-1617.2646051545962,-1643.4376965444858,-1619.4219593770354,-1625.2932542065728,-1627.012080419134,9.29838246572797,55
2,3.86327919960022,0.06645320017716272,0.7516063213348388,0.029903353526000355,HistGradientBoostingRegressor(),9,0.01,150,5,160,54,24,9,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.01), ('model__max_bins', 150), ('model__max_depth', 5), ('model__max_iter', 160), ('model__max_leaf_nodes', 54), ('model__min_samples_leaf', 24), ('q', 9)])",-2556.4898562130156,-2535.0787373882144,-2550.875122427961,-2561.2001008403718,-2550.8783011693763,-2550.9044236077875,8.805133869810401,58
3,3.629634714126587,0.09610096285602628,0.7815158843994141,0.025563290948715733,HistGradientBoostingRegressor(),1,0.1,250,9,100,72,26,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.1), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 100), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 26), ('q', 13)])",-1467.7430194227775,-1482.8584919406367,-1502.9494290333512,-1491.9989946708456,-1490.038860143073,-1487.1177590421369,11.632050199130656,48
4,3.764067363739014,0.12757658639188213,0.8152890205383301,0.0704443580764188,HistGradientBoostingRegressor(),5,0.1,200,13,200,62,22,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.1), ('model__max_bins', 200), ('model__max_depth', 13), ('model__max_iter', 200), ('model__max_leaf_nodes', 62), ('model__min_samples_leaf', 22), ('q', 7)])",-1416.1882339272984,-1441.653128196309,-1440.3635536958516,-1442.948026277536,-1437.1827779047292,-1435.6671440003447,9.92597200603193,42
5,4.2113384246826175,0.06060874300962795,0.8172403335571289,0.02840646177941953,HistGradientBoostingRegressor(),9,0.01,100,11,140,62,18,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.01), ('model__max_bins', 100), ('model__max_depth', 11), ('model__max_iter', 140), ('model__max_leaf_nodes', 62), ('model__min_samples_leaf', 18), ('q', 12)])",-2611.638694771298,-2614.7569573669016,-2626.280916966197,-2641.3936463209984,-2616.3537774350675,-2622.084798572093,10.826836616355324,59
6,4.191371250152588,0.06460539732985718,0.8499637126922608,0.02364158566962715,HistGradientBoostingRegressor(),7,0.05,250,9,180,68,16,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.05), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 180), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 16), ('q', 11)])",-1492.5563915342263,-1506.3494118318904,-1533.7397861431484,-1506.8339392943417,-1523.1745554932052,-1512.5308168593624,14.371857217214933,49
7,3.742949104309082,0.08318829551472182,0.9192422389984131,0.024774956042114837,HistGradientBoostingRegressor(),9,0.05,250,5,100,66,8,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.05), ('model__max_bins', 250), ('model__max_depth', 5), ('model__max_iter', 100), ('model__max_leaf_nodes', 66), ('model__min_samples_leaf', 8), ('q', 7)])",-1784.5452990077395,-1771.0602003623749,-1802.5223406573873,-1763.7083350551936,-1764.4083604135628,-1777.2489070992517,14.686800878628999,56
8,4.205080127716064,0.039302421899423116,0.8190210819244385,0.031730493092532425,HistGradientBoostingRegressor(),7,0.2,150,7,120,50,16,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 150), ('model__max_depth', 7), ('model__max_iter', 120), ('model__max_leaf_nodes', 50), ('model__min_samples_leaf', 16), ('q', 10)])",-1451.8443289616241,-1448.092786918991,-1463.2064756454517,-1456.7040978911937,-1466.4679211614668,-1457.2631221157455,6.8384596453120805,45
9,3.7918798446655275,0.0743360582957897,0.9152718544006347,0.017020736624034933,HistGradientBoostingRegressor(),9,0.1,150,9,140,58,10,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.1), ('model__max_bins', 150), ('model__max_depth', 9), ('model__max_iter', 140), ('model__max_leaf_nodes', 58), ('model__min_samples_leaf', 10), ('q', 13)])",-1488.799684743024,-1465.9982189589803,-1479.104009496372,-1473.7375185655703,-1495.769718806407,-1480.6818301140706,10.581732998968672,46
10,4.216670942306519,0.03653043548029961,0.8155999183654785,0.017748748612200823,HistGradientBoostingRegressor(),3,0.05,200,7,200,68,12,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.05), ('model__max_bins', 200), ('model__max_depth', 7), ('model__max_iter', 200), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 12), ('q', 13)])",-1518.613098450872,-1532.093972768313,-1541.3283592217547,-1538.6482973356117,-1530.8129224035101,-1532.2993300360124,7.8917332452106965,53
11,3.8572331428527833,0.11110377449856429,0.9026468753814697,0.031890750470337056,HistGradientBoostingRegressor(),3,0.2,150,7,160,62,12,5,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 150), ('model__max_depth', 7), ('model__max_iter', 160), ('model__max_leaf_nodes', 62), ('model__min_samples_leaf', 12), ('q', 5)])",-1394.5888429436927,-1407.337239390774,-1412.1789598958476,-1434.759325109027,-1450.9465854032735,-1419.962190548523,20.212682926917918,35
