,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,33.27449293136597,0.12824716763326094,1.2232640743255616,0.02612875480905226,RandomForestRegressor(),squared_error,45,log2,0.8,0.05,70,65,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 45), ('model__max_features', 'log2'), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 70), ('model__min_samples_split', 65), ('model__n_estimators', 500)])",-1834.9122067581498,-1840.7570817754686,-1873.7541487423448,-1860.0677999063194,-1839.639871441458,-1849.826221724748,14.736855084760071,68
24,42.328960275650026,0.14529432191132055,1.394607162475586,0.02685436292755451,RandomForestRegressor(),squared_error,20,0.5,0.7,0.1,20,35,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 0.5), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 35), ('model__n_estimators', 500)])",-1601.5403994075675,-1581.6243602928337,-1617.388178224686,-1596.513274909601,-1598.058291450003,-1599.0249008569383,11.432927002399854,28
25,50.43032383918762,0.19245604446140535,1.3527265548706056,0.041102564887376104,RandomForestRegressor(),poisson,25,0.5,0.8,0.05,20,35,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 25), ('model__max_features', 0.5), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 35), ('model__n_estimators', 600)])",-1631.3067440972472,-1612.61842830976,-1649.5743600621827,-1626.9626755381742,-1625.6548214541522,-1629.2234058923034,11.933755576881655,37
26,59.41797757148743,0.26548029455892186,1.4920204162597657,0.05176939879802415,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,30,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 600)])",-1574.8588618575388,-1555.7787589241664,-1589.0627243223914,-1573.546442858544,-1574.5468977720195,-1573.558737146932,10.575142370412433,10
27,48.732260370254515,0.14293763850608257,1.3573411464691163,0.030487766760734347,RandomForestRegressor(),poisson,40,0.5,0.7,0.1,20,30,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 40), ('model__max_features', 0.5), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 650)])",-1682.5199499034395,-1665.8567782809698,-1705.8900027324555,-1685.1023473244127,-1676.0815922014378,-1683.090134088543,13.193303862679281,50
28,36.4972327709198,0.12164637751047615,1.176910400390625,0.03532868576770188,RandomForestRegressor(),poisson,20,sqrt,0.8,0.2,20,30,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 20), ('model__max_features', 'sqrt'), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.2), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 550)])",-1771.9875266844083,-1762.580361161946,-1810.851566032807,-1780.3058979280422,-1771.1085331776908,-1779.366776996979,16.71292656296195,57
29,51.016273975372314,0.18157088924491482,1.1185304164886474,0.03092307699546775,RandomForestRegressor(),poisson,45,0.7,0.9,0.1,20,30,450,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 45), ('model__max_features', 0.7), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 450)])",-1666.1725232460515,-1647.3669722961831,-1685.4505540727946,-1671.797245348226,-1660.1075869760643,-1666.1789763878637,12.599301262811776,46
30,34.410910272598265,0.13293234276972443,1.3157823085784912,0.01639900097610942,RandomForestRegressor(),squared_error,30,sqrt,0.8,0.1,20,30,450,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 'sqrt'), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 450)])",-1620.6185348173872,-1610.7301790559648,-1643.340793818299,-1624.082928445288,-1625.8055477067255,-1624.9155967687327,10.589278092709282,34
31,54.64112954139709,0.1837226091768604,1.4035784244537353,0.024878284876314098,RandomForestRegressor(),poisson,20,0.5,0.9,0.05,20,80,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 20), ('model__max_features', 0.5), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 80), ('model__n_estimators', 650)])",-1652.18620939103,-1632.797035951267,-1671.9213641481829,-1649.7691911100312,-1645.5970672551923,-1650.4541735711405,12.646544279098876,41
32,57.3902868270874,0.14718073006955465,1.4170584201812744,0.04231531735529818,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,75,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 75), ('model__n_estimators', 600)])",-1619.113893968163,-1602.4246441101923,-1638.1668801182914,-1620.1491075429087,-1619.9813956796727,-1619.9671842838457,11.311331014601075,33
33,58.657572889328,0.27361617636042057,1.457991933822632,0.041722009865029025,RandomForestRegressor(),squared_error,20,0.7,0.8,0.05,20,50,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 50), ('model__n_estimators', 600)])",-1583.4535819431787,-1564.382628866716,-1599.3727761239584,-1583.3919199502122,-1584.2680729667015,-1582.9737959701533,11.105298010762503,21
34,58.698063135147095,0.3928522720671501,1.4821980476379395,0.05997554740549197,RandomForestRegressor(),squared_error,20,0.7,0.7,0.1,20,20,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 20), ('model__n_estimators', 650)])",-1589.5614343062625,-1569.5707259204992,-1602.8340148169264,-1588.2111970391377,-1588.4439447325033,-1587.7242633630658,10.60175224601145,25
35,59.07633719444275,0.32921921671196885,1.5029349327087402,0.06780158179773348,RandomForestRegressor(),squared_error,30,0.7,0.8,0.05,20,45,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 45), ('model__n_estimators', 600)])",-1577.476420552906,-1560.1968485989714,-1592.7900275669515,-1578.1191774927117,-1577.464933356342,-1577.2094815135765,10.326152748023711,19
36,59.306005811691286,0.21701676068560374,1.509536123275757,0.04426533500521261,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,25,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 25), ('model__n_estimators', 600)])",-1574.3383912529555,-1556.0370528731019,-1587.9394468369535,-1573.0415353467642,-1573.7776222070788,-1573.0268097033709,10.132351808450874,3
37,59.21226582527161,0.41096445400708875,1.4573652267456054,0.08308588799090018,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,45,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 45), ('model__n_estimators', 600)])",-1578.900628137751,-1559.8987097514862,-1590.900228356251,-1577.713520346851,-1577.0205259430063,-1576.8867225070692,9.896749339914944,18
38,53.43618545532227,0.21778950685975446,1.4096791744232178,0.05095532608230328,RandomForestRegressor(),squared_error,45,0.7,0.7,0.05,20,85,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 45), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 85), ('model__n_estimators', 600)])",-1650.9610801974604,-1634.4776613631025,-1672.6671301606361,-1652.1325651999796,-1650.6410468477413,-1652.175896753784,12.140441537285348,43
39,55.70539274215698,0.2964049301151753,1.4391813278198242,0.026848501238766625,RandomForestRegressor(),squared_error,30,0.7,0.7,0.05,20,30,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 30), ('model__n_estimators', 600)])",-1589.6326336078996,-1570.612269489124,-1603.2463162608426,-1586.6490085200237,-1588.0241960763433,-1587.6328847908467,10.378831532376342,24
