,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,27.348081731796263,0.13754050553618885,0.6035072803497314,0.020155596624105473,ExtraTreesRegressor(),True,squared_error,40,0.8,0.5,0.0,21,92,520,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 40), ('model__max_features', 0.8), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 21), ('model__min_samples_split', 92), ('model__n_estimators', 520)])",-1859.0030310923971,-1839.2277284953439,-1870.2357079606256,-1856.0771985197873,-1848.3127199811631,-1854.5712772098632,10.41034733284353,119
12,23.409232902526856,0.08980266363365538,0.40374302864074707,0.015276971759347613,ExtraTreesRegressor(),True,squared_error,40,log2,0.5,0.01,9,122,380,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.01), ('model__min_samples_leaf', 9), ('model__min_samples_split', 122), ('model__n_estimators', 380)])",-2016.636917099232,-2009.871498556316,-2039.1246218110957,-2029.938627724058,-2012.9541094009712,-2021.7051549183348,11.0772844723143,136
13,21.80507364273071,0.12808525504610735,0.44316701889038085,0.009923784208142853,ExtraTreesRegressor(),True,squared_error,60,sqrt,0.5,0.0001,1,82,350,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 60), ('model__max_features', 'sqrt'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 82), ('model__n_estimators', 350)])",-1833.1282760916347,-1827.454791919646,-1855.16061403798,-1842.0861882712275,-1836.914481480441,-1838.9488703601855,9.410582252972915,117
14,22.52624578475952,0.22774364631215482,0.4917396068572998,0.014535066677233213,ExtraTreesRegressor(),True,squared_error,70,sqrt,0.7,0.0001,9,112,440,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 70), ('model__max_features', 'sqrt'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 9), ('model__min_samples_split', 112), ('model__n_estimators', 440)])",-1949.5629206271065,-1946.6497471327937,-1974.1488165954813,-1970.3103964336974,-1948.9650443116284,-1957.9273850201414,11.780889150634204,129
15,28.121776628494263,0.12968793303524054,0.6818868160247803,0.012167521493674437,ExtraTreesRegressor(),True,squared_error,60,0.8,0.9,0.001,1,62,460,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 60), ('model__max_features', 0.8), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 62), ('model__n_estimators', 460)])",-1615.1720319992442,-1598.1399264620309,-1627.943091699189,-1615.8398200460235,-1623.3508236809532,-1616.089138777488,10.161946023523589,69
16,26.52652974128723,0.2606253066742279,0.4584204196929932,0.023377079863871785,ExtraTreesRegressor(),True,squared_error,60,1.0,0.9,0.001,17,122,410,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 60), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 17), ('model__min_samples_split', 122), ('model__n_estimators', 410)])",-1784.217536583243,-1765.8304248533013,-1795.5753992347256,-1779.101232811267,-1778.346643369326,-1780.6142473703726,9.620939740355023,110
17,26.977218532562254,0.1585625996934271,0.5231714725494385,0.014283969066130685,ExtraTreesRegressor(),True,squared_error,20,1.0,0.9,0.0001,13,42,370,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 13), ('model__min_samples_split', 42), ('model__n_estimators', 370)])",-1642.2052653210233,-1621.672751166651,-1654.5167337504781,-1632.1689626886941,-1642.8784800946648,-1638.6884386043025,11.067941364778646,81
18,22.769356870651244,0.12956997679096988,0.5416439056396485,0.026826495929590626,ExtraTreesRegressor(),True,squared_error,50,log2,0.7,0.001,21,72,540,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 50), ('model__max_features', 'log2'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 21), ('model__min_samples_split', 72), ('model__n_estimators', 540)])",-2027.5435673076793,-2008.2744223680236,-2027.7384256386842,-2037.4170733754438,-2013.5962889305465,-2022.9139555240756,10.546886614917442,137
19,23.084958267211913,0.12449353321313487,0.8907730579376221,0.015866026165820533,ExtraTreesRegressor(),True,squared_error,20,sqrt,0.5,0.0,1,12,450,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 'sqrt'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 450)])",-1526.834666884041,-1516.8082290052407,-1546.7066457901856,-1534.2628625030436,-1546.1084007528182,-1534.1441609870658,11.444967360124185,59
20,23.471789836883545,0.08595740317009128,1.0071175575256348,0.015491225865955966,ExtraTreesRegressor(),True,squared_error,30,sqrt,0.5,0.0,1,12,450,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 'sqrt'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 450)])",-1492.0067551819075,-1481.8899429024789,-1512.1402949770616,-1499.7360569753084,-1509.8696607358736,-1499.1285421545258,11.251093884657097,56
