,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
101,4.228504610061646,0.22074859917970263,0.860284423828125,0.012545224706713199,HistGradientBoostingRegressor(),3,0.2,250,23,0.8,210,76,54,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 23), ('model__max_features', 0.8), ('model__max_iter', 210), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 54), ('q', 11)])",-1394.0920583085608,-1408.3103974147584,-1366.8585495696825,-1358.787388486369,-1385.9900527259026,-1382.8076893010546,17.995568628953993,20
102,4.172787237167358,0.13540363374649658,0.8385917663574218,0.02100718156351147,HistGradientBoostingRegressor(),11,0.2,250,45,0.9,270,72,42,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 0.9), ('model__max_iter', 270), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 42), ('q', 7)])",-1405.0557434087523,-1379.6443393666955,-1361.826926245085,-1367.029800919192,-1406.9033991040153,-1384.0920418087478,18.796128849717523,22
103,4.225054216384888,0.17906371280647543,0.8794256210327148,0.04699618021020329,HistGradientBoostingRegressor(),5,0.2,250,15,0.6,230,60,51,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 15), ('model__max_features', 0.6), ('model__max_iter', 230), ('model__max_leaf_nodes', 60), ('model__min_samples_leaf', 51), ('q', 11)])",-1426.1084770213083,-1407.9200015751126,-1406.5625227878893,-1384.591136844829,-1442.1042586465112,-1413.45727937513,19.45330574308198,71
104,3.9199777126312254,0.18803490482848312,0.8078955173492431,0.04584290140216583,HistGradientBoostingRegressor(),1,0.2,250,17,0.9,250,84,15,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 17), ('model__max_features', 0.9), ('model__max_iter', 250), ('model__max_leaf_nodes', 84), ('model__min_samples_leaf', 15), ('q', 12)])",-1421.5997333141554,-1401.2261036779887,-1367.9937399976438,-1385.4163348721727,-1384.2564280724637,-1392.0984679868848,18.11532386482193,42
105,3.535367822647095,0.0420310999697935,0.8138353824615479,0.02469785209087151,HistGradientBoostingRegressor(),9,0.2,230,17,0.8,70,84,27,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 230), ('model__max_depth', 17), ('model__max_features', 0.8), ('model__max_iter', 70), ('model__max_leaf_nodes', 84), ('model__min_samples_leaf', 27), ('q', 14)])",-1473.1334723330478,-1470.8818905582834,-1428.5556287527327,-1438.9265168585573,-1470.746996194739,-1456.448900939472,18.847759638828997,118
106,3.786527156829834,0.4608506377691272,0.7347790241241455,0.0826944256908496,HistGradientBoostingRegressor(),11,0.2,240,17,0.6,330,72,24,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 17), ('model__max_features', 0.6), ('model__max_iter', 330), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 24), ('q', 7)])",-1440.225504749549,-1375.4608642115231,-1355.6805906512204,-1412.4323090318253,-1466.5818595332262,-1410.0762256354687,40.655934804421,66
107,3.999094343185425,0.10992140050887056,0.8357900619506836,0.03708986050705427,HistGradientBoostingRegressor(),7,0.2,250,27,1.0,190,68,39,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 27), ('model__max_features', 1.0), ('model__max_iter', 190), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 39), ('q', 10)])",-1402.147348108301,-1384.6255303122978,-1357.5040012364752,-1372.0568635043924,-1404.137623413299,-1384.0942733149532,17.775676813056474,23
108,4.226303243637085,0.23098969564977279,0.8069032192230224,0.03220831334834966,HistGradientBoostingRegressor(),9,0.2,250,33,1.0,270,68,18,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 33), ('model__max_features', 1.0), ('model__max_iter', 270), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 18), ('q', 11)])",-1450.257753288509,-1373.8734230235086,-1342.790484321808,-1341.002488428835,-1387.882653924387,-1379.1613605974094,39.843846352982574,14
109,3.9259437561035155,0.07056415878186442,0.827617883682251,0.04193796443022461,HistGradientBoostingRegressor(),9,0.1,240,35,1.0,170,64,24,5,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.1), ('model__max_bins', 240), ('model__max_depth', 35), ('model__max_features', 1.0), ('model__max_iter', 170), ('model__max_leaf_nodes', 64), ('model__min_samples_leaf', 24), ('q', 5)])",-1440.0304900184337,-1442.9233367880602,-1411.249017632844,-1425.0709489005042,-1440.220829476289,-1431.8989245632263,12.082665524805554,101
110,4.001852178573609,0.18391901780535289,0.7787945747375489,0.03043646670250425,HistGradientBoostingRegressor(),1,0.2,250,45,1.0,270,48,21,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 1.0), ('model__max_iter', 270), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 21), ('q', 7)])",-1402.099553150058,-1388.1910509065497,-1352.3002680874922,-1401.6926250977053,-1447.3864961294316,-1398.3339986742474,30.507674508902536,52
